PK_CO_ORG,CO_ORG_CD,CO_ORG_NAME,PK_BELNG_MGMT_ORG,INN_CALI_CO_ORG_LVL,MGMT_CALI_CO_ORG_LVL,SBM_CALI_CO_ORG_LVL,LEGL_REP,USCC,BIZ_RGSTT_CETF_NUM,CO_PURPO,INDS_CLASSF,ORG_MODAL,ACTL_CTRL_FRM,INVEST_MOD,GRP_SHRHD_RATIO,GRP_DIVD_RATIO,RGST_CAP,CUR,BASE_CUR,IF_CO_ORG,PK_PARENT_CO_ORG,CTRY,ARA,PROV_CD,CITY_CD,CTY_CD,ADDR,CO_ORG_STATUS,SETUP_DT,REGISTER_DT,EXIT_DT,BIZ_TERM_START_DT,BIZ_TERM_END_DT,IF_FNCL_SHR,IF_COMB_TAB,COMB_TAB_DT,TAXPYR_IDTF_NUM,FIN_CALI_CORP_TYP,FIR_BIZ,FIR_BIZ_CODE,SEC_BIZ,SEC_BIZ_CODE,BIZ_TYP,BIZ_TYP_CODE,CHANGEDATE,CHANGEUSERID,CHANGEUSERNAME,FREEZEFLAG,LASTDATE,LASTUSERID,LASTUSERNAME,ORGID,ORGNAME,SYSID,VER,_id,_modifier,_modify_time,_sort,Year,_creator,_create_time,Entity_Number,Entity_Opreation,Version
0001N61000000000L52E,000009,南京市市政设计研究院有限责任公司,193158,,,,夏文林,913201004258003374,,,,,,,99.17,99.17,8571.42,CNY,CNY,是,,CN,,,,,江苏省-南京市-玄武区-南京市玄武区同仁街31号,正常,,2016-10-24,,,,是,,,913201004258003374,,,,,,,,2024-10-22 11:51:56,admin,admin,0,2024-10-22 11:51:56,admin,admin,000005,北控水务,1729569116472651553,0,9324,,,,2025,,,XJYFY-20171212-2266,,WorkVersion
0001A410000000BYE9V9,192703,北控三河水环境科技有限公司第三分公司,2803323,,,,,,,,,,,,,,,,CNY,否,,CN,,,,,,正常,,,,,,是,,,91131082MA0GH4TJ5E,,,,,,,,2024-10-22 11:52:22,admin,admin,0,2024-10-22 11:52:22,admin,admin,000005,北控水务,1729569142353510620,0,8715,,,,2025,,,Y1320221100,,WorkVersion
0001A410000000E9XBY1,558542,太原北控中北高新水务有限公司,3515953,,,,徐宝玲,91140124MAC59B7P1T,,,,,,,100.00,,200.00,CNY,CNY,是,,CN,,,,,山西省-太原市-尖草坪区-中北高新区,正常,,2022-12-09,,,,是,,,91140124MAC59B7P1T,,,,,,,,2024-10-22 11:52:12,admin,admin,0,2024-10-22 11:52:12,admin,admin,000005,北控水务,1729569132520716836,0,8684,,,,2025,,,Y1420231237,,WorkVersion
0001A410000000GTVP4O,726765,霍州润清水质净化有限公司,3515954,,,,徐鹏,91141082MAD34BP551,,,,,,,100.00,0.00,160.00,CNY,CNY,是,,CN,,,,,山西省-临汾市-霍州市-龙口村肉联厂西北侧,正常,,2023-11-07,,,,是,,,91141082MAD34BP551,,,,,,,,2024-10-22 11:52:16,admin,admin,0,2024-10-22 11:52:16,admin,admin,000005,北控水务,1729569136805441170,0,9348,,,,2025,,,Y1420231418,,WorkVersion
0001A41000000091J689,920048,衡水京成水环境有限公司,195153,,,,吴宇波,91131101MA0DMXAJ8K,,,,,,,78.79,78.78,24972.68,CNY,CNY,是,,CN,,,,,河北省-衡水市-市辖区-高新区北环西路618号,正常,,2019-06-10,,,,是,,,91131101MA0DMXAJ8K,,,,,,,,2024-10-22 11:52:06,admin,admin,0,2024-10-22 11:52:06,admin,admin,000005,北控水务,1729569126639123369,0,8665,,,,2025,,,Y2021021096,,WorkVersion
0001N6100000000C9PUW,040278,盘锦北控环保有限公司,2808011,,,,李精哲,9121110032217509X9,,,,,,,100.00,100.00,160.00,USD,CNY,是,,CN,,,,,辽宁省-盘锦市-大洼县-辽宁省盘锦市大洼临港经济区,正常,,2016-03-22,,,,是,,,9121110032217509X9,,,,,,,,2024-10-22 11:52:03,admin,admin,0,2024-10-22 11:52:03,admin,admin,000005,北控水务,1729569123695727136,0,9062,,,,2025,,,Y2021031102,,WorkVersion
0001A410000000EQKZTS,300921,海城市北水海通水务发展有限公司,3310381,,,,孟祥印,91210381MAC81MWA7F,,,,,,,99.98,,3312.01,CNY,CNY,是,,CN,,,,,辽宁省-鞍山市-海城市-兴海管理区祥圣二期回迁楼2号物业房,正常,,2023-02-10,,,,是,,,91210381MAC81MWA7F,,,,,,,,2024-10-22 11:52:18,admin,admin,0,2024-10-22 11:52:18,admin,admin,000005,北控水务,1729569138432403297,0,8900,,,,2025,,,Y2120241485,,WorkVersion
0001A410000000CPTJT5,414522,凯发新泉（天津）污水处理有限公司,2808007,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,911201136974071686,,,,,,,,2024-10-22 11:51:56,admin,admin,0,2024-10-22 11:51:56,admin,admin,000005,北控水务,1729569116803291586,0,8633,,,,2025,,,Y3120221017,,WorkVersion
0001D210000000000GQC,040194,盐城建宜环境水务有限公司,195150,,,,冯峰,91320903757331047Y,,,,,,,60.00,60.00,4600.00,CNY,CNY,是,,CN,,,,,江苏省-盐城市-盐都区-潘黄街道东进西路46号,正常,,2016-05-23,,,,是,,,91320903757331047Y,,,,,,,,2024-10-22 11:52:22,admin,admin,0,2024-10-22 11:52:22,admin,admin,000005,北控水务,1729569142679142645,0,9394,,,,2025,,,Y3220221116,,WorkVersion
0001A410000000EPQZIR,297711,睢宁北控环保技术有限公司,2773383,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91320300MACBYR8C7M,,,,,,,,2024-10-22 11:51:53,admin,admin,0,2024-10-22 11:51:53,admin,admin,000005,北控水务,1729569113268661311,0,9487,,,,2025,,,Y3220231250,,WorkVersion
0001A41000000092XWGB,040522,南京北控雄州污水处理有限公司,2773383,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91320100MA1YL8P3X0,,,,,,,,2024-10-22 11:51:53,admin,admin,0,2024-10-22 11:51:53,admin,admin,000005,北控水务,1729569113860786353,0,8477,,,,2025,,,Y3220241533,,WorkVersion
0001A410000000CABY6E,959864,烟台北控水处理工程有限公司,2935984,,,,薛洪明,91370600MA7HF4P23W,,,,,,,100.00,0.00,10.00,CNY,CNY,是,,CN,,,,,山东省-烟台市-福山区-经济经济技术开发区潮水衙前村,正常,,2022-01-24,,,,是,,,91370600MA7HF4P23W,,,,,,,,2024-10-22 11:52:07,admin,admin,0,2024-10-22 11:52:07,admin,admin,000005,北控水务,1729569127653824449,0,8881,,,,2025,,,Y3720221007,,WorkVersion
0001D210000000000GAN,040066,鄄城嘉诚水质净化有限公司,2935968,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91371726562507719G,,,,,,,,2024-10-22 11:52:14,admin,admin,0,2024-10-22 11:52:14,admin,admin,000005,北控水务,1729569134165681966,0,9115,,,,2025,,,Y3720221028,,WorkVersion
0001N6100000000GPG26,040322,五莲北控水务有限公司,2935979,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,是,,91371100MA3C7KYW4X,,,,,,,,2024-10-22 11:52:02,admin,admin,0,2024-10-29 09:16:55,admin,admin,000005,北控水务,1729569122054757001,1,9658,,,,2025,,,Y3720231337,,WorkVersion
0001A410000000D1SZD0,544486,枣庄台儿庄区北控水务有限公司,2935985,,,,刘承伟,91370400MABQ90G28R,,,,,,,100.00,100.00,18092.00,CNY,CNY,是,,CN,,,,,山东省-枣庄市-台儿庄区-邳庄镇边庄七彩花田路与花莲路交汇处南354米,正常,,2022-06-10,,,,是,,,91370400MABQ90G28R,,,,,,,,2024-10-22 11:52:11,admin,admin,0,2024-10-22 11:52:11,admin,admin,000005,北控水务,1729569131873551785,0,9035,,,,2025,,,Y3720231342,,WorkVersion
0001A4100000009J0D2D,055408,济南北控智远污水处理有限公司,2676118,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91370100MA3R9L9C9H,,,,,,,,2024-10-22 11:52:11,admin,admin,0,2024-10-22 11:52:11,admin,admin,000005,北控水务,1729569131542909750,0,9164,,,,2025,,,Y3720231398,,WorkVersion
0001A410000000A3PKIZ,137012,枣庄北控陶庄水务有限公司,2935985,,,,童雪梅,91370400MA3TAH5CXW,,,,,,,100.00,,7200.00,CNY,CNY,是,,CN,,,,,山东省-枣庄市-薛城区-陶庄镇千山村S322与青龙绿道交汇处100米路西,正常,,2020-06-17,,,,是,,,91370400MA3TAH5CXW,,,,,,,,2024-10-22 11:52:24,admin,admin,0,2024-10-22 11:52:24,admin,admin,000005,北控水务,1729569144475832756,0,8916,,,,2025,,,Y3720231409,,WorkVersion
0001N6100000000DSJ84,040371,山东惠民北控中科成水务有限公司,2935963,,,,王新平,913716213489883473,,,,,,,100.00,100.00,1615.28,CNY,CNY,是,,CN,,,,,山东省-滨州市-惠民县-山东省滨州市惠民县孙武路园林处以北,正常,,2016-04-01,,,,是,,,913716213489883473,,,,,,,,2024-10-22 11:52:04,admin,admin,0,2024-10-22 11:52:04,admin,admin,000005,北控水务,1729569124350892187,0,9492,,,,2025,,,Y3720241542,,WorkVersion
0001D210000000000GAK,040065,夏津宏泰嘉诚水务有限公司,2676118,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,913714006980715712,,,,,,,,2024-10-22 11:52:10,admin,admin,0,2024-10-22 11:52:10,admin,admin,000005,北控水务,1729569130897751706,0,9524,,,,2025,,,Y3720241585,,WorkVersion
0001D210000000000GAA,040063,山东冠县嘉诚水质净化有限公司,2935976,,,,杨旗,91371500669308218R,,,,,,,100.00,100.00,1470.00,USD,CNY,是,,CN,,,,,山东省-聊城市-冠县-经济开发区北环路168号冠县新兴产业园C1栋3层307,正常,,2016-09-14,,,,是,,,91371500669308218R,,,,,,,,2024-10-22 11:52:20,admin,admin,0,2024-10-22 11:52:20,admin,admin,000005,北控水务,1729569140401906458,0,9121,,,,2025,,,Y3720241598,,WorkVersion
0001A410000000DK24YL,808671,北控青源（洛阳）污水处理有限公司,2711886,,,,许建军,91410300MA9LMDURXX,,,,,,,100.00,0.00,200.00,CNY,CNY,是,,CN,,,,,河南省-洛阳市-新安县-城关镇隆祥城小区5号楼1单元2楼,正常,,2022-07-18,,,,是,,,91410300MA9LMDURXX,,,,,,,,2024-10-22 11:51:55,admin,admin,0,2024-10-22 11:51:55,admin,admin,000005,北控水务,1729569115179320450,0,8820,,,,2025,,,Y4120231338,,WorkVersion
0001A410000000GGROY1,223172,武汉沃特科凌投资有限公司,3531207,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91420117682342832D,,,,,,,,2024-10-22 11:52:20,admin,admin,0,2024-10-22 11:52:20,admin,admin,000005,北控水务,1729569140073377436,0,9314,,,,2025,,,Y4220231376,,WorkVersion
0001A410000000GGROV1,350981,武汉科凌联诚环保有限公司,3531207,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91420117MA4KMQ4H8E,,,,,,,,2024-10-22 11:52:31,admin,admin,0,2024-10-22 11:52:31,admin,admin,000005,北控水务,1729569151395631834,0,9668,,,,2025,,,Y4220231377,,WorkVersion
0001N6100000000L8HKU,040407,揭阳占陇北控水务有限公司,2247289,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91445281MA4UWX0U1C,,,,,,,,2024-10-22 11:51:54,admin,admin,0,2024-10-22 11:51:54,admin,admin,000005,北控水务,1729569114856693430,0,9189,,,,2025,,,Y4420231365,,WorkVersion
0001A410000000DODDWR,862933,揭阳阳美北控水务有限公司,2247289,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91445200MABY2XW29R,,,,,,,,2024-10-22 11:52:01,admin,admin,0,2024-10-22 11:52:01,admin,admin,000005,北控水务,1729569121403597955,0,9605,,,,2025,,,Y4420241481,,WorkVersion
0001D210000000000GO9,040171,广西贵港北控水务水质净化有限公司,2247290,,,,郭琦,914508003485115063,,,,,,,43.56,80.00,7211.77,CNY,CNY,是,,CN,,,,,广西壮族自治区-贵港市-港北区-贵港市港北区仙衣路西侧龙头山金矿宿舍区南边（城西污水处理厂内）,正常,,2016-05-20,,,,是,,,914508003485115063,,,,,,,,2024-10-22 11:51:59,admin,admin,0,2024-10-22 11:51:59,admin,admin,000005,北控水务,1729569119452951790,0,8620,,,,2025,,,Y4520241649,,WorkVersion
0001D210000000000GAT,030047,绵阳中科成污水净化有限公司,1203121,,,,刘燕梅,91510700720874769J,,,,,,,100.00,100.00,2000.00,CNY,CNY,是,,CN,,,,,四川省-绵阳市-涪城区-绵阳经开区板桥村六社,正常,,2016-03-09,,,,是,,,91510700720874769J,,,,,,,,2024-10-22 11:52:22,admin,admin,0,2024-10-22 11:52:22,admin,admin,000005,北控水务,1729569142031871588,0,8351,,,,2025,,,Y5120221124,,WorkVersion
0001A410000000ABWGXW,580193,彭州北控创新水务有限公司,3546629,,,,李俊,91510182MA63CNWH1N,,,,,,,89.99,,4000.00,CNY,CNY,是,,CN,,,,,四川省-成都市-彭州市-天彭街道金彭西路424号,正常,,2020-09-27,,,,是,,,91510182MA63CNWH1N,,,,,,,,2024-10-22 11:51:52,admin,admin,0,2024-10-22 11:51:52,admin,admin,000005,北控水务,1729569112527316240,0,9137,,,,2025,,,Y5120231362,,WorkVersion
0001A4100000007W236Q,950024,北控（成都双流）水务有限公司,3546638,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91510122MA6CBPEC45,,,,,,,,2024-10-22 11:51:54,admin,admin,0,2024-10-22 11:51:54,admin,admin,000005,北控水务,1729569114855691428,0,9128,,,,2025,,,Y5120241611,,WorkVersion
0001A410000000F9QBUJ,033950,水富县水务产业投资有限公司,1202910,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91530630574651312L,,,,,,,,2024-10-22 11:52:17,admin,admin,0,2024-10-22 11:52:17,admin,admin,000005,北控水务,1729569137781236244,0,8450,,,,2025,,,Y5320231283,,WorkVersion
0001A41000000019KENY,940007,华宁北控环保水务有限公司,2307949,,,,黄云建,91530400MA6KKE3L4R,,,,,,,100.00,100.00,2869.61,CNY,CNY,是,,CN,,,,,云南省-玉溪市-华宁县-宁州街道办江华公路延长线旁,正常,,2017-05-05,,,,是,,,91530400MA6KKE3L4R,,,,,,,,2024-10-22 11:52:05,admin,admin,0,2024-10-22 11:52:05,admin,admin,000005,北控水务,1729569125330686260,0,9332,,,,2025,,,Y5320241523,,WorkVersion
0001N6100000000BPUTV,040340,西安北控水质净化有限公司,2773387,,,,,,,,,,,,,,,,CNY,是,,CN,,,,,,正常,,,,,,是,,,91610137329535289E,,,,,,,,2024-10-22 11:52:08,admin,admin,0,2024-10-22 11:52:08,admin,admin,000005,北控水务,1729569128948250547,0,9258,,,,2025,,,Y6120241539,,WorkVersion
