,YEAR,Entity_Number,Entity_Name,Budget_Allocation,BUDGE_TYPE,department,code,equip_name_short,facity,BUDGE_CODE,BUDGE_STATUS,GROUP_AMOUNT_NEW,plan,implementation,reason,Item,PROJ_TYPE,PROJ_TYPE_CODE,NAME,ISPAID,PAID_TYPE,APPROVE_STATUS,PUSHFLAG,FREEZEFLAG,ORGNAME,ORGID,_creator,_modifier,PUSHTIME,_create_time,_modify_time,CHANGEUSERNAME,LASTUSERNAME
10,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NE39a4b307,2期1#鼓风机房#1#曝气风机多功能电表,2期1#鼓风机房,BY1420210001,1,0.7,增加电表,I03,满足SED填报要求，大功率设备计量,NE39a4b307Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
11,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NE45bf1dc6,1期2#除臭系统#1#除臭系统多功能电表,1期2#除臭系统,BY1420210001,1,0.1,增加电表,I03,满足SED填报要求，大功率设备计量,NE45bf1dc6Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
12,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NE64bc1dc6,1期1#污泥脱水机房#1#污泥脱水系统多功能电表,1期1#污泥脱水机房,BY1420210001,1,0.1,增加电表,I03,满足SED填报要求，大功率设备计量,NE64bc1dc6Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
13,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NEa133dfeb,1期1#进水提升泵房#1#进水提升泵多功能电表,1期1#进水提升泵房,BY1420210001,1,0.6,增加电表,I03,满足SED填报要求，大功率设备计量,NEa133dfebEq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
14,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NEa74057cb,2期1#二次提升泵房#1#二次提升泵多功能电表,2期1#二次提升泵房,BY1420210001,1,0.4,增加电表,I03,满足SED填报要求，大功率设备计量,NEa74057cbEq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
15,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NEb770bb26,2期1#中控室#1#路由器,2期1#中控室,BY1420210001,1,0.1895,增加路由器,I03,满足SDE数据传输,NEb770bb26Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
16,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NEd00d84e9,1期1#污泥泵房#1#外回流污泥泵多功能电表,1期1#污泥泵房,BY1420210001,1,0.9,增加电表,I03,满足SED填报要求，大功率设备计量,NEd00d84e9Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
17,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NEd9b04638,1期1#二次提升泵房#1#二次提升泵多功能电表,1期1#二次提升泵房,BY1420210001,1,0.4,增加电表,I03,满足SED填报要求，大功率设备计量,NEd9b04638Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
18,2025,Y1420210001,山西太原北郊厂-TOT,Eq06,010103,Equipment,NEfcce6ca3,2期1#污泥泵房#1#外回流污泥泵多功能电表,2期1#污泥泵房,BY1420210001,1,0.7,增加电表,I03,满足SED填报要求，大功率设备计量,NEfcce6ca3Eq06,,,,,,1,0,0,,,,,2025-07-07 10:39:16.942216,,,,
19,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq07,020101,Technical,PS6100114,1期1#污泥泵房,1期1#污泥泵房,BJ2025000214,1,2.0,11,I03,1,PS6100114Eq07,达标技改,0101,业务预算5,0,,1,0,0,,,,yangpeize,2025-07-07 10:39:16.942216,,2025-06-19 18:15:41.000000,,
20,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq07,020101,Technical,PS6100116,1期1#二沉池配水井,1期1#二沉池配水井,BJ2025000233,1,4.0,1,I03,1,PS6100116Eq07,达标技改,0101,11111111,1,调整水价/水量,1,0,0,,,,chenlu,2025-07-07 10:39:16.942216,,2025-07-01 15:29:24.000000,,
21,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq07,020101,Technical,PS6100118,1期1#二沉池,1期1#二沉池,BJ2025000241,1,8.0,11,I03,1,PS6100118Eq07,达标技改,0101,107,N,,1,0,0,,,,yangpeize,2025-07-07 10:39:16.942216,,2025-06-19 18:15:41.000000,,
22,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq08,020101,Technical,JE46c98d5f,4期27#消防系统,,BJ2025000241,1,2.0,1,I03,1,JE46c98d5fEq08,达标技改,0101,107,N,,1,0,0,,,w-chenjinglei01,yangpeize,2025-07-07 10:39:16.942216,2025-06-19 10:14:55.000000,2025-06-19 18:27:26.000000,,
23,2025,Y6120210005,陕西咸阳武功污水处理厂二期扩建和一期改造-BOT,Eq08,020101,Technical,JE4c4a080e,1期2#电量计量系统,,BJ2025000241,1,2.0,1,I03,1,JE4c4a080eEq08,达标技改,0101,107,N,,1,0,0,,,w-chenjinglei01,yangpeize,2025-07-07 10:39:16.942216,2025-06-18 17:48:54.000000,2025-06-19 18:27:26.000000,,
